city_name,city_lat,city_lng,city_temp_max,city_temp_min,city_temp,city_pressure,city_humidity,city_cloud,city_wind_speed,city_wind_deg,city_country,city_date,city_sunrise,city_sunset,weather_main,weather_description
Hinton,53.4001,-117.5857,0.56,-1,-0.35,1018,55,100,3.6,10,CA,1619147732,1619094831,1619146999,Clouds,overcast clouds
Leduc,53.2668,-113.552,-0.56,-3.33,-2.38,1023,46,60,2.57,350,CA,1619147733,1619093886,1619146008,Clouds,broken clouds
Lethbridge,49.7,-112.8186,-1.11,-3,-1.9,1018,80,90,2.06,20,CA,1619147710,1619094246,1619145296,Snow,light snow
Lloydminster,53.2835,-110.0016,-3,-3,-3,1018,43,40,3.6,330,CA,1619147680,1619093033,1619145157,Clouds,scattered clouds
Medicine Hat,50.0501,-110.6683,1,0.56,0.72,1018,44,90,5.66,330,CA,1619147733,1619093682,1619144828,Clouds,overcast clouds
Okotoks,50.7289,-113.9828,-2.78,-4.44,-3.32,1017,73,100,0.45,22,CA,1619147734,1619094380,1619145721,Clouds,overcast clouds
Red Deer,52.2668,-113.802,-3,-3,-3,1019,54,90,3.6,10,CA,1619147734,1619094106,1619145908,Clouds,overcast clouds
Rocky View,51.1834,-113.9353,-2.78,-3.89,-3.2,1018,59,75,5.66,20,CA,1619147734,1619094302,1619145776,Clouds,broken clouds
Sherwood Park,53.5168,-113.3187,-0.56,-3.33,-1.24,1023,37,88,3.09,10,CA,1619147734,1619093789,1619145993,Clouds,overcast clouds
Spruce Grove,53.5334,-113.9187,0,-1.11,-0.6,1019,34,40,4.63,360,CA,1619147634,1619093930,1619146140,Clouds,scattered clouds
St. Albert,53.6334,-113.6353,0,-3,-0.99,1023,37,69,3.09,10,CA,1619147735,1619093846,1619146088,Clouds,broken clouds
Stony Plain,53.5334,-114.0021,-1.11,-3,-1.69,1019,43,75,2.57,360,CA,1619147735,1619093950,1619146160,Clouds,broken clouds
Strathmore,51.0501,-113.3852,0,-2.22,-1.24,1022,59,67,3.09,20,CA,1619147735,1619094190,1619145624,Clouds,broken clouds
Wetaskiwin,52.9668,-113.3687,0,-3,-1.99,1023,46,59,2.57,350,CA,1619147724,1619093891,1619145915,Clouds,broken clouds
Abbotsford,49.058,-122.2526,14.44,12.78,13.38,1012,67,20,3.6,210,CA,1619147736,1619096594,1619147475,Clouds,few clouds
Aldergrove,49.058,-122.4709,14,13,13.6,1012,67,20,3.6,210,CA,1619147736,1619096647,1619147528,Clouds,few clouds
Burnaby,49.2664,-122.9526,15,12,13.56,1012,66,6,0.51,340,CA,1619147736,1619096734,1619147671,Clear,clear sky
Campbell River,50.0163,-125.2446,15,13.33,14.3,1012,33,40,2.57,310,CA,1619147736,1619097180,1619148325,Clouds,scattered clouds
Castlegar,49.2998,-117.6689,12,12,12,1010,50,64,5.66,50,CA,1619147736,1619095463,1619146407,Clouds,broken clouds
Chilliwack,49.1747,-121.9443,14.44,13,13.58,1012,67,25,1.54,360,CA,1619147737,1619096505,1619147417,Clouds,scattered clouds
Clearbrook,48.9787,-122.3224,15,12.78,13.98,1012,55,20,4.12,200,US,1619147515,1619096622,1619147481,Clouds,few clouds
Cloverdale,38.8055,-123.0172,13.33,11.11,12.59,1015,73,1,1.34,0,US,1619147737,1619097912,1619146525,Clear,clear sky
Coquitlam,49.283,-122.7526,15,13.33,13.87,1013,54,13,2.06,220,CA,1619147737,1619096684,1619147626,Clouds,few clouds
Courtenay,49.6866,-124.9936,18,12.78,15.46,1012,27,20,1.54,290,CA,1619147737,1619097166,1619148219,Clouds,few clouds
Cranbrook,49.4999,-115.7688,2,2,2,1014,87,90,2.57,290,CA,1619147738,1619094980,1619145977,Clouds,overcast clouds
Dawson Creek,55.7666,-120.2362,3,3,3,1018,41,1,1.03,0,CA,1619147679,1619095050,1619148052,Clear,clear sky
Delta,5.5,6,25.3,25.3,25.3,1008,92,88,1.08,159,NG,1619147738,1619155546,1619199748,Clouds,overcast clouds
Duncan,34.5023,-97.9578,12,11.11,11.66,1016,62,90,3.09,160,US,1619147738,1619092275,1619140134,Clouds,overcast clouds
Fernie,49.5,-115.0687,2,-1,0.41,1020,74,100,1.03,220,CA,1619147738,1619094813,1619145809,Clouds,overcast clouds
Gibsons,49.3997,-123.5027,15,12,13.67,1012,66,16,0.51,340,CA,1619147739,1619096848,1619147822,Clouds,few clouds
Kamloops,50.6665,-120.3192,12,-1.67,7.25,1013,19,1,3.09,360,CA,1619147739,1619095907,1619147234,Clear,clear sky
Kelowna,49.8831,-119.4857,13,11,11.88,1012,32,1,6.17,340,CA,1619147739,1619095818,1619146923,Clear,clear sky
Ladysmith,48.9829,-123.8194,17,12.78,14.54,1012,39,20,4.12,160,CA,1619147740,1619096980,1619147842,Clouds,few clouds
