date,time,open,high,low,close,volume,number_of_trades
2021-04-27,10:13 AM,115.56,115.56,115.48,115.48,638,13
2021-04-27,10:14 AM,115.48,115.59,115.47,115.54,612,9
2021-04-27,10:15 AM,115.49,115.51,115.43,115.46,437,9
2021-04-27,10:16 AM,115.47,115.475,115.4,115.475,619,8
2021-04-27,10:17 AM,115.56,115.635,115.56,115.62,400,4
2021-04-27,10:18 AM,115.62,115.665,115.62,115.62,764,17
2021-04-27,10:19 AM,115.55,115.61,115.48,115.61,443,14
2021-04-27,10:20 AM,115.59,115.64,115.59,115.59,901,7
2021-04-27,10:21 AM,115.59,115.59,115.57,115.59,300,4
2021-04-27,10:22 AM,115.58,115.58,115.51,115.51,101,3
2021-04-27,10:23 AM,115.48,115.52,115.48,115.52,200,2
2021-04-27,10:24 AM,115.52,115.59,115.52,115.58,515,8
2021-04-27,10:25 AM,115.56,115.56,115.47,115.49,614,10
2021-04-27,10:26 AM,115.5,115.5,115.45,115.485,1280,10
2021-04-27,10:27 AM,115.48,115.515,115.48,115.515,631,10
2021-04-27,10:28 AM,115.51,115.56,115.48,115.55,1055,12
2021-04-27,10:29 AM,115.53,115.56,115.52,115.555,1067,11
2021-04-27,10:30 AM,115.58,115.62,115.555,115.555,918,15
2021-04-27,10:31 AM,115.5,115.53,115.48,115.48,572,15
2021-04-27,10:32 AM,115.43,115.49,115.43,115.45,908,13
2021-04-27,10:33 AM,115.46,115.47,115.46,115.47,51,2
2021-04-27,10:34 AM,115.49,115.53,115.48,115.53,1000,10
2021-04-27,10:35 AM,115.53,115.53,115.49,115.49,188,8
2021-04-27,10:36 AM,115.48,115.48,115.4,115.4,369,7
2021-04-27,10:37 AM,115.4,115.4,115.31,115.36,780,17
2021-04-27,10:38 AM,115.35,115.45,115.35,115.41,1956,20
2021-04-27,10:39 AM,115.355,115.4,115.335,115.39,1177,16
2021-04-27,10:40 AM,115.34,115.37,115.3,115.3,1104,13
2021-04-27,10:41 AM,115.3,115.4,115.29,115.4,692,11
2021-04-27,10:42 AM,115.405,115.47,115.405,115.43,1606,23
2021-04-27,10:43 AM,115.46,115.55,115.46,115.55,1107,14
2021-04-27,10:44 AM,115.56,115.63,115.56,115.62,1712,19
