date,time,open,high,low,close,volume,number_of_trades
2021-04-28,10:03 AM,112.21,112.255,112.17,112.18,985,16
2021-04-28,10:04 AM,112.2,112.22,112.12,112.17,2050,20
2021-04-28,10:05 AM,112.2,112.245,112.09,112.245,1481,21
2021-04-28,10:06 AM,112.22,112.475,112.21,112.4,3106,39
2021-04-28,10:07 AM,112.42,112.57,112.42,112.57,1454,15
2021-04-28,10:08 AM,112.58,112.8,112.58,112.75,2188,23
2021-04-28,10:09 AM,112.8,112.85,112.63,112.63,1502,14
2021-04-28,10:10 AM,112.56,112.56,112.45,112.48,1792,26
2021-04-28,10:11 AM,112.445,112.45,112.27,112.27,1541,23
2021-04-28,10:12 AM,112.28,112.3,112.21,112.21,1782,21
2021-04-28,10:13 AM,112.14,112.14,112.06,112.105,3536,24
2021-04-28,10:14 AM,112.11,112.26,112.035,112.26,2051,28
2021-04-28,10:15 AM,112.25,112.45,112.2,112.43,2539,32
2021-04-28,10:16 AM,112.45,112.61,112.44,112.565,2834,32
2021-04-28,10:17 AM,112.49,112.69,112.46,112.46,1533,22
2021-04-28,10:18 AM,112.43,112.43,112.24,112.24,1550,18
2021-04-28,10:19 AM,112.26,112.39,112.26,112.33,1874,32
2021-04-28,10:20 AM,112.33,112.55,112.33,112.455,2500,29
2021-04-28,10:21 AM,112.48,112.48,112.3,112.39,2777,41
2021-04-28,10:22 AM,112.395,112.49,112.38,112.475,2344,30
2021-04-28,10:23 AM,112.42,112.43,112.24,112.26,1599,30
2021-04-28,10:24 AM,112.3,112.32,112.12,112.14,1438,25
2021-04-28,10:25 AM,112.14,112.225,112.1,112.19,1827,22
2021-04-28,10:26 AM,112.25,112.29,112.18,112.24,1733,21
2021-04-28,10:27 AM,112.23,112.23,112.13,112.22,2870,35
2021-04-28,10:28 AM,112.19,112.24,112.09,112.15,1592,16
2021-04-28,10:29 AM,112.2,112.34,112.2,112.3,2625,29
2021-04-28,10:30 AM,112.29,112.32,112.2,112.32,975,17
2021-04-28,10:31 AM,112.32,112.42,112.24,112.42,2163,24
2021-04-28,10:32 AM,112.445,112.455,112.385,112.455,2551,24
2021-04-28,10:33 AM,112.48,112.6,112.475,112.6,2002,24
2021-04-28,10:34 AM,112.62,112.7,112.615,112.67,1342,15
2021-04-28,10:35 AM,112.67,112.87,112.6,112.81,3891,34
2021-04-28,10:36 AM,112.8,113.06,112.8,113.04,3095,26
2021-04-28,10:37 AM,113.05,113.07,112.97,113.0,5249,32
2021-04-28,10:38 AM,112.99,113.03,112.96,113.0,3000,35
2021-04-28,10:39 AM,112.985,113.03,112.985,113.03,1151,14
2021-04-28,10:40 AM,113.035,113.05,112.98,113.025,4065,27
2021-04-28,10:41 AM,113.02,113.02,112.99,113.0,1033,12
2021-04-28,10:42 AM,113.0,113.03,112.98,113.03,1212,20
2021-04-28,10:43 AM,113.0,113.14,113.0,113.04,939,13
2021-04-28,10:44 AM,113.06,113.06,113.0,113.0,1877,23
2021-04-28,10:45 AM,112.97,113.16,112.88,113.16,2681,31
2021-04-28,10:46 AM,113.19,113.19,112.94,113.02,1466,22
2021-04-28,10:47 AM,113.0,113.02,112.9,112.9,423,8
2021-04-28,10:48 AM,112.82,112.83,112.73,112.73,860,11
2021-04-28,10:49 AM,112.66,112.66,112.575,112.575,1029,16
2021-04-28,10:50 AM,112.61,112.61,112.54,112.555,1730,25
2021-04-28,10:51 AM,112.5,112.61,112.495,112.61,3473,20
2021-04-28,10:52 AM,112.55,112.55,112.505,112.51,843,14
2021-04-28,10:53 AM,112.555,112.555,112.52,112.545,651,9
2021-04-28,10:54 AM,112.51,112.55,112.5,112.55,3542,24
2021-04-28,10:55 AM,112.615,112.65,112.605,112.605,1486,13
2021-04-28,10:56 AM,112.635,112.75,112.62,112.72,2465,24
2021-04-28,10:57 AM,112.705,112.705,112.54,112.55,4524,39
2021-04-28,10:58 AM,112.545,112.62,112.545,112.61,609,8
2021-04-28,10:59 AM,112.62,112.62,112.54,112.56,756,10
2021-04-28,11 AM,112.57,112.67,112.57,112.67,2331,32
2021-04-28,11:01 AM,112.655,112.82,112.655,112.82,2020,25
2021-04-28,11:02 AM,112.85,112.91,112.815,112.84,1114,21
2021-04-28,11:03 AM,112.85,112.97,112.84,112.97,501,5
2021-04-28,11:04 AM,112.95,112.95,112.895,112.9,452,14
2021-04-28,11:05 AM,112.92,112.92,112.845,112.88,900,17
2021-04-28,11:06 AM,112.89,112.89,112.78,112.78,211,4
2021-04-28,11:07 AM,112.86,112.86,112.75,112.75,608,10
2021-04-28,11:08 AM,112.75,112.76,112.67,112.68,1044,14
2021-04-28,11:09 AM,112.67,112.67,112.61,112.61,1129,12
2021-04-28,11:10 AM,112.61,112.61,112.56,112.565,1314,16
2021-04-28,11:11 AM,112.59,112.59,112.49,112.56,2439,26
2021-04-28,11:12 AM,112.58,112.59,112.51,112.515,1610,10
2021-04-28,11:13 AM,112.5,112.52,112.445,112.49,1045,17
2021-04-28,11:14 AM,112.5,112.5,112.41,112.42,1095,18
2021-04-28,11:15 AM,112.43,112.43,112.375,112.42,1362,18
2021-04-28,11:16 AM,112.38,112.39,112.27,112.27,968,16
2021-04-28,11:17 AM,112.27,112.27,112.21,112.22,1343,20
2021-04-28,11:18 AM,112.22,112.28,112.19,112.22,1758,19
2021-04-28,11:19 AM,112.23,112.33,112.22,112.27,795,8
2021-04-28,11:20 AM,112.265,112.3,112.26,112.29,873,12
2021-04-28,11:21 AM,112.3,112.34,112.28,112.33,1144,12
2021-04-28,11:22 AM,112.32,112.32,112.23,112.23,1327,16
2021-04-28,11:23 AM,112.21,112.31,112.21,112.265,2280,26
2021-04-28,11:24 AM,112.29,112.37,112.285,112.345,2465,24
2021-04-28,11:25 AM,112.425,112.46,112.39,112.44,1276,20
2021-04-28,11:26 AM,112.405,112.45,112.405,112.415,526,8
2021-04-28,11:27 AM,112.4,112.44,112.4,112.4,2104,17
2021-04-28,11:28 AM,112.42,112.43,112.41,112.415,964,9
2021-04-28,11:29 AM,112.43,112.45,112.41,112.45,2450,12
2021-04-28,11:30 AM,112.45,112.58,112.45,112.57,1520,21
2021-04-28,11:31 AM,112.57,112.57,112.47,112.5,1232,17
2021-04-28,11:32 AM,112.51,112.52,112.49,112.52,633,7
2021-04-28,11:33 AM,112.51,112.62,112.51,112.61,1096,8
2021-04-28,11:34 AM,112.55,112.55,112.47,112.51,1403,21
2021-04-28,11:35 AM,112.535,112.56,112.51,112.56,761,12
2021-04-28,11:36 AM,112.57,112.62,112.525,112.53,865,11
2021-04-28,11:37 AM,112.54,112.57,112.5,112.54,793,15
2021-04-28,11:38 AM,112.55,112.55,112.535,112.535,1899,11
2021-04-28,11:39 AM,112.535,112.535,112.5,112.52,757,12
2021-04-28,11:40 AM,112.53,112.54,112.46,112.47,1416,18
2021-04-28,11:41 AM,112.46,112.48,112.46,112.47,388,4
2021-04-28,11:42 AM,112.46,112.465,112.455,112.465,500,6
2021-04-28,11:43 AM,112.46,112.47,112.45,112.46,482,12
2021-04-28,11:44 AM,112.4,112.4,112.27,112.27,1057,18
2021-04-28,11:45 AM,112.23,112.23,112.17,112.2,1025,18
2021-04-28,11:46 AM,112.19,112.19,112.14,112.18,1443,18
2021-04-28,11:47 AM,112.175,112.2,112.17,112.2,1922,19
2021-04-28,11:48 AM,112.205,112.21,112.155,112.19,933,22
2021-04-28,11:49 AM,112.16,112.21,112.16,112.21,483,10
2021-04-28,11:50 AM,112.18,112.2,112.175,112.2,1677,18
2021-04-28,11:51 AM,112.21,112.22,112.2,112.2,525,7
2021-04-28,11:52 AM,112.19,112.19,112.075,112.075,1119,19
2021-04-28,11:53 AM,112.075,112.1,112.03,112.1,801,12
2021-04-28,11:54 AM,112.07,112.07,112.02,112.02,1101,12
2021-04-28,11:55 AM,112.03,112.03,111.94,111.98,1141,30
2021-04-28,11:56 AM,112.015,112.06,112.0,112.06,1283,17
2021-04-28,11:57 AM,112.04,112.08,112.015,112.08,372,12
2021-04-28,11:58 AM,112.07,112.085,112.025,112.04,615,17
2021-04-28,11:59 AM,112.01,112.06,112.01,112.06,212,4
2021-04-28,12 PM,112.02,112.05,111.995,112.01,544,13
2021-04-28,12:01 PM,112.0,112.01,111.93,111.93,405,7
2021-04-28,12:02 PM,111.93,111.94,111.9,111.9,616,8
2021-04-28,12:03 PM,111.9,111.93,111.895,111.92,890,9
2021-04-28,12:04 PM,111.89,111.92,111.89,111.92,480,6
2021-04-28,12:05 PM,111.89,111.98,111.88,111.98,835,11
2021-04-28,12:06 PM,111.94,112.07,111.94,112.07,828,12
2021-04-28,12:07 PM,112.06,112.07,112.035,112.07,526,7
2021-04-28,12:08 PM,112.17,112.17,112.05,112.05,979,12
2021-04-28,12:09 PM,112.07,112.07,112.03,112.04,578,5
2021-04-28,12:10 PM,112.005,112.035,111.97,111.97,317,8
2021-04-28,12:11 PM,111.995,111.995,111.93,111.935,893,11
2021-04-28,12:12 PM,111.94,111.995,111.94,111.99,677,8
2021-04-28,12:13 PM,111.93,111.94,111.91,111.94,810,10
2021-04-28,12:14 PM,111.92,111.98,111.92,111.955,509,6
2021-04-28,12:15 PM,111.95,111.96,111.9,111.91,910,12
2021-04-28,12:16 PM,111.97,111.97,111.93,111.93,104,4
2021-04-28,12:17 PM,111.91,111.92,111.87,111.87,500,4
2021-04-28,12:18 PM,111.8,111.82,111.78,111.82,1083,20
2021-04-28,12:19 PM,111.85,111.87,111.84,111.84,951,8
2021-04-28,12:20 PM,111.83,111.99,111.81,111.97,3332,28
2021-04-28,12:21 PM,111.96,112.02,111.96,112.02,2427,20
2021-04-28,12:22 PM,112.1,112.49,112.1,112.31,9448,45
2021-04-28,12:23 PM,112.33,112.33,112.23,112.26,221,4
2021-04-28,12:24 PM,112.29,112.53,112.29,112.5,5260,41
2021-04-28,12:25 PM,112.445,112.65,112.43,112.6,2501,22
2021-04-28,12:26 PM,112.51,112.51,112.34,112.35,389,10
2021-04-28,12:27 PM,112.27,112.27,112.22,112.235,606,8
2021-04-28,12:28 PM,112.23,112.5,112.19,112.49,8653,62
2021-04-28,12:29 PM,112.49,112.5,112.45,112.5,2433,38
2021-04-28,12:30 PM,112.46,112.51,112.46,112.5,1839,30
2021-04-28,12:31 PM,112.5,112.51,112.48,112.49,1382,21
2021-04-28,12:32 PM,112.5,112.7,112.47,112.62,2086,30
2021-04-28,12:33 PM,112.53,112.54,112.41,112.54,1774,22
2021-04-28,12:34 PM,112.56,112.56,112.49,112.49,995,13
2021-04-28,12:35 PM,112.535,112.58,112.49,112.58,675,8
2021-04-28,12:36 PM,112.6,112.6,112.48,112.51,1069,14
2021-04-28,12:37 PM,112.52,112.55,112.51,112.55,260,5
2021-04-28,12:38 PM,112.59,112.63,112.57,112.61,700,6
2021-04-28,12:39 PM,112.62,112.645,112.58,112.64,861,11
2021-04-28,12:40 PM,112.63,112.745,112.63,112.73,2387,14
2021-04-28,12:41 PM,112.74,112.82,112.72,112.82,1152,13
2021-04-28,12:42 PM,112.835,112.92,112.81,112.91,1634,20
2021-04-28,12:43 PM,112.89,112.89,112.81,112.865,282,6
2021-04-28,12:44 PM,112.855,112.88,112.81,112.83,439,10
2021-04-28,12:45 PM,112.82,112.82,112.7,112.75,1870,17
2021-04-28,12:46 PM,112.8,112.81,112.71,112.71,1557,13
2021-04-28,12:47 PM,112.67,112.67,112.62,112.62,425,6
2021-04-28,12:48 PM,112.625,112.625,112.605,112.61,125,3
2021-04-28,12:49 PM,112.64,112.64,112.61,112.62,138,4
2021-04-28,12:50 PM,112.62,112.65,112.62,112.63,266,5
2021-04-28,12:51 PM,112.66,112.72,112.66,112.72,210,4
2021-04-28,12:52 PM,112.75,112.75,112.66,112.68,231,9
2021-04-28,12:53 PM,112.68,112.72,112.68,112.72,252,3
2021-04-28,12:54 PM,112.75,112.79,112.75,112.78,809,12
2021-04-28,12:55 PM,112.8,112.85,112.79,112.85,335,5
2021-04-28,12:56 PM,112.81,112.82,112.79,112.81,517,6
2021-04-28,12:57 PM,112.83,112.85,112.735,112.85,737,11
2021-04-28,12:58 PM,112.83,112.83,112.83,112.83,10,1
2021-04-28,12:59 PM,112.77,112.79,112.745,112.79,576,13
2021-04-28,1 PM,112.78,112.78,112.77,112.77,304,6
2021-04-28,1:01 PM,112.75,112.75,112.685,112.685,623,6
2021-04-28,1:02 PM,112.68,112.68,112.61,112.61,732,10
2021-04-28,1:03 PM,112.6,112.67,112.59,112.66,1575,18
2021-04-28,1:04 PM,112.62,112.63,112.59,112.59,125,5
2021-04-28,1:05 PM,112.59,112.61,112.59,112.61,232,5
2021-04-28,1:06 PM,112.61,112.64,112.59,112.64,139,5
2021-04-28,1:07 PM,112.58,112.605,112.58,112.6,218,5
2021-04-28,1:08 PM,112.59,112.74,112.59,112.74,3808,19
